SR-CODE,NAME,Semester,Course,ILO1,ILO2,ILO3,ILO4
22-72531,Luis Garcia,2,Integral Calculus,79.5,60.0,60.0,60.0
22-72531,Luis Garcia,2,Physics 1,81.5,72.2,72.2,60.0
22-72531,Luis Garcia,3,Life and Works of Rizal,66.3,73.5,68.2,67.5
22-72531,Luis Garcia,3,Ethics,71.9,72.5,68.8,68.9
22-72531,Luis Garcia,3,Modern Biology,77.5,60.8,60.0,70.0
22-72531,Luis Garcia,3,Computer Engineering as a Discipline,80.1,64.7,60.0,64.8
22-72531,Luis Garcia,3,Programming Logic and Design,78.2,81.2,70.6,61.6
22-72531,Luis Garcia,3,Discrete Mathematics,67.3,70.6,65.8,60.0
22-72531,Luis Garcia,3,Fundamentals of Electrical Engineering,86.0,82.2,75.4,60.0
22-72531,Luis Garcia,3,Computer-Aided Design,78.8,75.3,71.2,72.4
22-72531,Luis Garcia,4,Engineering Economics,76.8,75.2,71.7,66.3
22-72531,Luis Garcia,4,Engineering Data Analysis,62.0,71.0,64.3,60.0
22-72531,Luis Garcia,4,Differential Equations,82.8,80.9,75.8,65.5
22-72531,Luis Garcia,4,Object Oriented Programming,80.7,70.5,68.7,60.0
22-72531,Luis Garcia,4,Advanced Engineering Mathematics for CpE,75.1,70.9,60.0,63.7
22-72531,Luis Garcia,4,Cognate/Elective Course 1,72.1,81.2,72.9,63.9
22-72531,Luis Garcia,4,Electronic Circuits: Devices and Analysis,75.2,71.8,67.3,60.0
22-72531,Luis Garcia,4,Basic Occupational Health and Safety,72.1,66.3,60.4,67.3
22-72531,Luis Garcia,4,Numerical Methods,75.0,60.0,66.9,69.9
22-72531,Luis Garcia,4,Kontekstwalisadong Komunikasyon sa Filipino,79.3,77.0,68.1,60.0
22-72531,Luis Garcia,5,Logic Circuits and Design,67.2,73.6,70.8,72.6
22-72531,Luis Garcia,5,Data Structures and Algorithms,79.2,69.6,60.0,62.0
22-72531,Luis Garcia,5,"Introduction to Networks, Data and Digital Communications (CISCO 1)",73.9,69.2,64.0,65.4
22-72531,Luis Garcia,5,Fundamentals of Mixed Signals and Sensors,70.7,67.7,70.4,62.5
22-72531,Luis Garcia,5,Feedback and Control Systems,74.2,72.1,60.8,61.1
22-72531,Luis Garcia,5,Introduction to HDL,82.3,64.5,60.0,60.0
22-72531,Luis Garcia,5,Research Methods,73.2,71.0,67.2,71.5
22-72531,Luis Garcia,5,Filipino sa Iba't Ibang Disiplina,60.0,73.2,77.3,60.0
22-72531,Luis Garcia,6,Microprocessors,71.4,67.0,63.2,62.9
22-72531,Luis Garcia,6,Software Design,81.1,81.4,65.5,75.3
22-72531,Luis Garcia,6,Routing and Switching (CISCO 2),72.8,80.9,66.9,64.7
22-72531,Luis Garcia,6,Digital Signal Processing,74.9,89.6,72.7,60.0
22-72531,Luis Garcia,6,Emerging Technologies in CpE,78.4,68.2,64.6,69.3
22-72531,Luis Garcia,6,CpE Practice and Design 1,73.2,72.5,68.0,66.3
22-72531,Luis Garcia,6,Cognate/Elective Course 2,75.1,60.0,71.5,60.0
22-72531,Luis Garcia,7,Scaling Networks (CISCO 3),63.9,70.0,68.0,60.0
22-72531,Luis Garcia,7,Operating Systems,77.6,62.3,65.1,60.4
22-72531,Luis Garcia,7,Computer Architecture and Organization,73.4,73.2,62.5,69.2
22-72531,Luis Garcia,7,Computer Engineering Drafting and Design,74.1,60.1,60.0,64.8
22-72531,Luis Garcia,7,Connecting Networks and Security (CISCO 4),71.3,69.8,67.3,65.2
22-72531,Luis Garcia,7,Embedded Systems,79.4,64.8,61.5,60.0
22-72531,Luis Garcia,7,Seminars and Fieldtrips,74.7,78.3,65.3,60.0
22-72531,Luis Garcia,7,Manufacturing and Quality Control,63.5,66.5,65.2,62.4
22-72531,Luis Garcia,7,Cognate/Elective Course 3 (Data Mining / AI Track),72.8,68.5,73.8,60.0
22-72531,Luis Garcia,7,ASEAN Literature,67.8,73.7,60.0,66.6
22-72531,Luis Garcia,8,Technopreneurship,73.6,69.9,77.4,60.5
22-72531,Luis Garcia,8,On-the-Job Training,85.4,69.5,60.2,64.7
22-72531,Luis Garcia,8,CpE Practice and Design 2,66.5,66.3,70.3,67.6
22-55296,Pedro Ramos,1,Introduction to Engineering,77.2,84.5,82.3,79.9
22-55296,Pedro Ramos,1,Understanding the Self,84.2,86.7,64.0,69.4
22-55296,Pedro Ramos,1,Mathematics in the Modern World,75.1,78.6,71.3,69.7
22-55296,Pedro Ramos,1,Readings in Philippine History,92.3,77.5,77.8,69.9
22-55296,Pedro Ramos,1,Purposive Communication,81.4,78.6,78.0,78.3
22-55296,Pedro Ramos,1,Differential Calculus,90.2,79.8,78.2,63.8
22-55296,Pedro Ramos,1,General Chemistry,79.8,83.6,79.9,71.9
22-55296,Pedro Ramos,1,Computer Programming 1,90.1,85.2,86.1,76.4
22-55296,Pedro Ramos,2,Engineering Drawing,75.7,77.5,60.0,70.8
22-55296,Pedro Ramos,2,Contemporary World,60.0,68.2,78.0,74.1
22-55296,Pedro Ramos,2,Art Appreciation,74.0,74.3,83.5,68.4
22-55296,Pedro Ramos,2,"Science, Technology and Society",94.4,78.5,77.8,81.0
22-55296,Pedro Ramos,2,Integral Calculus,81.1,71.9,74.0,70.5
22-55296,Pedro Ramos,2,Physics 1,72.1,76.4,70.2,76.2
22-55296,Pedro Ramos,3,Life and Works of Rizal,81.2,76.9,74.7,72.6
22-55296,Pedro Ramos,3,Ethics,84.7,72.5,69.1,77.9
22-55296,Pedro Ramos,3,Modern Biology,77.8,69.4,77.4,73.5
22-55296,Pedro Ramos,3,Computer Engineering as a Discipline,71.8,79.9,79.7,73.5
22-55296,Pedro Ramos,3,Programming Logic and Design,88.6,73.8,80.9,72.8
22-55296,Pedro Ramos,3,Discrete Mathematics,77.4,83.1,83.6,81.4
22-55296,Pedro Ramos,3,Fundamentals of Electrical Engineering,85.7,74.8,74.5,73.1
22-55296,Pedro Ramos,3,Computer-Aided Design,78.5,76.3,77.3,68.1
22-55296,Pedro Ramos,4,Engineering Economics,76.6,76.1,79.1,71.3
22-55296,Pedro Ramos,4,Engineering Data Analysis,82.4,81.9,72.4,75.2
22-55296,Pedro Ramos,4,Differential Equations,82.6,70.5,83.3,67.7
22-55296,Pedro Ramos,4,Object Oriented Programming,74.9,76.0,72.7,74.9
22-55296,Pedro Ramos,4,Advanced Engineering Mathematics for CpE,78.7,75.9,78.4,72.7
22-55296,Pedro Ramos,4,Cognate/Elective Course 1,86.7,84.7,82.6,62.0
22-55296,Pedro Ramos,4,Electronic Circuits: Devices and Analysis,75.6,62.4,72.6,68.4
22-55296,Pedro Ramos,4,Basic Occupational Health and Safety,87.2,85.7,76.5,68.3
22-55296,Pedro Ramos,4,Numerical Methods,83.2,74.7,74.7,76.6
22-55296,Pedro Ramos,4,Kontekstwalisadong Komunikasyon sa Filipino,77.6,83.4,79.4,65.5
22-55296,Pedro Ramos,5,Logic Circuits and Design,83.7,79.7,73.0,63.9
22-55296,Pedro Ramos,5,Data Structures and Algorithms,79.6,79.0,82.1,68.9
22-55296,Pedro Ramos,5,"Introduction to Networks, Data and Digital Communications (CISCO 1)",87.4,74.8,77.6,75.3
22-55296,Pedro Ramos,5,Fundamentals of Mixed Signals and Sensors,92.5,67.2,81.2,69.4
22-55296,Pedro Ramos,5,Feedback and Control Systems,82.8,78.6,77.4,69.8
22-55296,Pedro Ramos,5,Introduction to HDL,86.5,72.7,79.2,64.6
22-55296,Pedro Ramos,5,Research Methods,80.6,72.1,78.0,79.9
22-55296,Pedro Ramos,5,Filipino sa Iba't Ibang Disiplina,80.5,77.4,68.6,69.9
22-55296,Pedro Ramos,6,Microprocessors,68.3,70.0,73.7,76.4
22-55296,Pedro Ramos,6,Software Design,98.0,78.7,87.5,76.1
22-55296,Pedro Ramos,6,Routing and Switching (CISCO 2),83.9,84.9,79.2,75.3
22-55296,Pedro Ramos,6,Digital Signal Processing,77.9,69.5,65.4,74.6
22-55296,Pedro Ramos,6,Emerging Technologies in CpE,83.1,78.7,78.9,79.4
22-55296,Pedro Ramos,6,CpE Practice and Design 1,82.1,74.6,82.7,80.7
22-55296,Pedro Ramos,6,Cognate/Elective Course 2,87.8,88.1,86.3,81.4
22-55296,Pedro Ramos,7,Scaling Networks (CISCO 3),88.5,85.8,82.0,68.0
22-55296,Pedro Ramos,7,Operating Systems,89.0,74.1,74.1,82.4
22-55296,Pedro Ramos,7,Computer Architecture and Organization,82.8,84.4,70.7,61.6
22-55296,Pedro Ramos,7,Computer Engineering Drafting and Design,76.4,76.1,72.8,75.3
22-55296,Pedro Ramos,7,Connecting Networks and Security (CISCO 4),82.6,84.4,72.9,77.3
22-55296,Pedro Ramos,7,Embedded Systems,77.8,71.0,70.9,67.4
22-55296,Pedro Ramos,7,Seminars and Fieldtrips,79.4,89.2,74.7,69.8
22-55296,Pedro Ramos,7,Manufacturing and Quality Control,65.2,70.1,70.8,64.4
22-55296,Pedro Ramos,7,Cognate/Elective Course 3 (Data Mining / AI Track),93.1,81.3,86.6,75.0
22-55296,Pedro Ramos,7,ASEAN Literature,81.2,78.0,75.3,81.6
22-55296,Pedro Ramos,8,Technopreneurship,67.1,66.5,72.0,71.3
22-55296,Pedro Ramos,8,On-the-Job Training,85.1,81.4,73.0,77.4
22-55296,Pedro Ramos,8,CpE Practice and Design 2,87.2,79.7,81.1,72.9
22-87463,Carla Dela Cruz,1,Introduction to Engineering,76.8,81.9,75.2,70.5
22-87463,Carla Dela Cruz,1,Understanding the Self,89.0,63.0,66.0,63.4
22-87463,Carla Dela Cruz,1,Mathematics in the Modern World,78.9,77.1,66.3,65.4
22-87463,Carla Dela Cruz,1,Readings in Philippine History,75.0,92.5,85.3,68.0
22-87463,Carla Dela Cruz,1,Purposive Communication,77.9,70.8,63.1,69.8
22-87463,Carla Dela Cruz,1,Differential Calculus,75.1,78.1,65.8,66.7
22-87463,Carla Dela Cruz,1,General Chemistry,81.9,80.8,77.9,63.4
22-87463,Carla Dela Cruz,1,Computer Programming 1,85.4,73.0,78.4,70.6
22-87463,Carla Dela Cruz,2,Engineering Drawing,70.8,74.8,75.7,73.3
22-87463,Carla Dela Cruz,2,Contemporary World,79.3,86.9,80.6,69.0
22-87463,Carla Dela Cruz,2,Art Appreciation,84.6,89.3,86.3,63.1
22-87463,Carla Dela Cruz,2,"Science, Technology and Society",74.6,86.6,68.2,62.6
22-87463,Carla Dela Cruz,2,Integral Calculus,78.1,81.1,74.8,67.4
22-87463,Carla Dela Cruz,2,Physics 1,77.0,74.3,70.1,85.0
22-87463,Carla Dela Cruz,3,Life and Works of Rizal,81.9,83.0,71.6,69.4
22-87463,Carla Dela Cruz,3,Ethics,75.8,61.8,66.2,60.0
22-87463,Carla Dela Cruz,3,Modern Biology,67.5,71.4,83.3,71.0
22-87463,Carla Dela Cruz,3,Computer Engineering as a Discipline,87.9,80.2,79.2,65.1
22-87463,Carla Dela Cruz,3,Programming Logic and Design,83.4,82.2,71.2,74.0
22-87463,Carla Dela Cruz,3,Discrete Mathematics,84.4,75.3,68.6,64.2
22-87463,Carla Dela Cruz,3,Fundamentals of Electrical Engineering,79.6,78.7,68.8,69.8
22-87463,Carla Dela Cruz,3,Computer-Aided Design,82.5,80.4,82.9,77.3
22-87463,Carla Dela Cruz,4,Engineering Economics,74.1,87.8,71.3,76.8
22-87463,Carla Dela Cruz,4,Engineering Data Analysis,81.4,76.1,64.5,70.3
22-87463,Carla Dela Cruz,4,Differential Equations,71.7,84.4,84.5,66.5
22-87463,Carla Dela Cruz,4,Object Oriented Programming,82.1,73.5,70.9,75.3
22-87463,Carla Dela Cruz,4,Advanced Engineering Mathematics for CpE,80.8,89.0,72.5,77.3
22-87463,Carla Dela Cruz,4,Cognate/Elective Course 1,80.8,82.6,71.9,70.3
22-87463,Carla Dela Cruz,4,Electronic Circuits: Devices and Analysis,78.4,71.7,77.5,73.5
22-87463,Carla Dela Cruz,4,Basic Occupational Health and Safety,83.7,86.9,83.2,68.3
22-87463,Carla Dela Cruz,4,Numerical Methods,83.3,74.9,75.5,67.7
22-87463,Carla Dela Cruz,4,Kontekstwalisadong Komunikasyon sa Filipino,89.8,79.9,73.2,77.7
22-87463,Carla Dela Cruz,5,Logic Circuits and Design,66.1,64.6,78.3,70.0
22-87463,Carla Dela Cruz,5,Data Structures and Algorithms,81.7,69.9,74.5,82.6
22-87463,Carla Dela Cruz,5,"Introduction to Networks, Data and Digital Communications (CISCO 1)",85.2,78.9,72.0,68.2
22-87463,Carla Dela Cruz,5,Fundamentals of Mixed Signals and Sensors,66.3,78.3,78.6,60.1
22-87463,Carla Dela Cruz,5,Feedback and Control Systems,77.1,71.7,69.6,71.6
22-87463,Carla Dela Cruz,5,Introduction to HDL,66.6,80.4,78.1,68.1
22-87463,Carla Dela Cruz,5,Research Methods,65.2,71.7,81.9,60.0
22-87463,Carla Dela Cruz,5,Filipino sa Iba't Ibang Disiplina,78.0,70.6,79.3,66.5
22-87463,Carla Dela Cruz,6,Microprocessors,81.5,80.1,84.6,68.4
22-87463,Carla Dela Cruz,6,Software Design,82.5,68.9,81.8,66.1
22-87463,Carla Dela Cruz,6,Routing and Switching (CISCO 2),76.9,77.7,65.3,72.0
22-87463,Carla Dela Cruz,6,Digital Signal Processing,86.8,80.4,65.8,70.6
22-87463,Carla Dela Cruz,6,Emerging Technologies in CpE,84.7,66.6,68.2,75.9
22-87463,Carla Dela Cruz,6,CpE Practice and Design 1,81.7,80.2,85.7,73.3
22-87463,Carla Dela Cruz,6,Cognate/Elective Course 2,84.2,94.1,73.3,65.8
22-87463,Carla Dela Cruz,7,Scaling Networks (CISCO 3),82.8,80.5,71.5,64.4
22-87463,Carla Dela Cruz,7,Operating Systems,94.1,79.8,70.2,76.1
22-87463,Carla Dela Cruz,7,Computer Architecture and Organization,78.4,75.2,76.9,61.8
22-87463,Carla Dela Cruz,7,Computer Engineering Drafting and Design,81.2,88.2,76.3,67.3
22-87463,Carla Dela Cruz,7,Connecting Networks and Security (CISCO 4),77.2,75.4,73.1,68.3
22-87463,Carla Dela Cruz,7,Embedded Systems,84.6,66.3,78.7,67.3
22-87463,Carla Dela Cruz,7,Seminars and Fieldtrips,82.4,71.0,82.5,78.0
22-87463,Carla Dela Cruz,7,Manufacturing and Quality Control,84.8,67.6,78.5,72.0
22-87463,Carla Dela Cruz,7,Cognate/Elective Course 3 (Data Mining / AI Track),70.6,77.7,76.8,74.0
22-87463,Carla Dela Cruz,7,ASEAN Literature,81.2,79.5,83.4,77.9
22-87463,Carla Dela Cruz,8,Technopreneurship,62.9,75.8,73.5,60.0
22-87463,Carla Dela Cruz,8,On-the-Job Training,80.7,85.2,68.0,72.5
22-87463,Carla Dela Cruz,8,CpE Practice and Design 2,74.6,73.7,83.4,67.3
22-92703,Carla Dela Cruz,1,Introduction to Engineering,74.1,60.0,77.5,66.4
22-92703,Carla Dela Cruz,1,Understanding the Self,70.2,72.7,60.0,69.9
22-92703,Carla Dela Cruz,1,Mathematics in the Modern World,66.2,64.9,60.4,60.0
22-92703,Carla Dela Cruz,1,Readings in Philippine History,75.5,70.7,70.3,62.7
22-92703,Carla Dela Cruz,1,Purposive Communication,74.4,66.7,79.7,60.0
22-92703,Carla Dela Cruz,1,Differential Calculus,75.7,74.3,60.0,73.3
22-92703,Carla Dela Cruz,1,General Chemistry,74.1,71.9,63.5,60.0
22-92703,Carla Dela Cruz,1,Computer Programming 1,70.5,72.0,75.2,64.3
22-92703,Carla Dela Cruz,2,Engineering Drawing,68.6,76.8,74.4,69.1
22-92703,Carla Dela Cruz,2,Contemporary World,75.8,67.6,60.8,60.0
22-92703,Carla Dela Cruz,2,Art Appreciation,61.5,70.6,65.8,60.1
22-92703,Carla Dela Cruz,2,"Science, Technology and Society",60.0,61.7,73.1,60.0
22-92703,Carla Dela Cruz,2,Integral Calculus,70.3,60.0,72.0,60.0
22-92703,Carla Dela Cruz,2,Physics 1,69.9,80.0,72.5,60.0
22-92703,Carla Dela Cruz,3,Life and Works of Rizal,67.8,67.2,69.4,62.1
22-92703,Carla Dela Cruz,3,Ethics,69.0,78.0,65.7,76.6
22-92703,Carla Dela Cruz,3,Modern Biology,68.7,76.8,65.5,65.7
22-92703,Carla Dela Cruz,3,Computer Engineering as a Discipline,67.0,64.1,69.1,68.7
22-92703,Carla Dela Cruz,3,Programming Logic and Design,72.0,61.9,60.0,60.0
22-92703,Carla Dela Cruz,3,Discrete Mathematics,60.0,66.7,70.1,60.0
22-92703,Carla Dela Cruz,3,Fundamentals of Electrical Engineering,60.5,70.7,67.9,77.8
22-92703,Carla Dela Cruz,3,Computer-Aided Design,65.4,69.5,79.2,67.9
22-92703,Carla Dela Cruz,4,Engineering Economics,74.7,69.9,68.3,67.4
22-92703,Carla Dela Cruz,4,Engineering Data Analysis,63.3,71.3,60.0,61.9
22-92703,Carla Dela Cruz,4,Differential Equations,69.2,62.4,63.2,60.0
22-92703,Carla Dela Cruz,4,Object Oriented Programming,65.4,67.5,60.1,65.1
22-92703,Carla Dela Cruz,4,Advanced Engineering Mathematics for CpE,61.2,70.3,60.0,60.0
22-92703,Carla Dela Cruz,4,Cognate/Elective Course 1,68.0,77.6,68.7,61.9
22-92703,Carla Dela Cruz,4,Electronic Circuits: Devices and Analysis,77.1,60.0,68.7,77.2
22-92703,Carla Dela Cruz,4,Basic Occupational Health and Safety,72.1,69.6,69.6,68.2
22-92703,Carla Dela Cruz,4,Numerical Methods,60.0,60.0,64.6,60.0
22-92703,Carla Dela Cruz,4,Kontekstwalisadong Komunikasyon sa Filipino,79.2,67.3,60.0,60.0
22-92703,Carla Dela Cruz,5,Logic Circuits and Design,60.0,70.5,67.8,62.7
22-92703,Carla Dela Cruz,5,Data Structures and Algorithms,78.3,76.8,65.7,60.0
22-92703,Carla Dela Cruz,5,"Introduction to Networks, Data and Digital Communications (CISCO 1)",75.5,73.0,68.6,69.1
22-92703,Carla Dela Cruz,5,Fundamentals of Mixed Signals and Sensors,67.1,83.9,63.2,69.7
22-92703,Carla Dela Cruz,5,Feedback and Control Systems,60.0,60.5,72.5,60.0
22-92703,Carla Dela Cruz,5,Introduction to HDL,79.1,73.3,68.3,73.4
22-92703,Carla Dela Cruz,5,Research Methods,69.9,60.0,61.5,66.1
22-92703,Carla Dela Cruz,5,Filipino sa Iba't Ibang Disiplina,73.7,60.0,62.0,60.0
22-92703,Carla Dela Cruz,6,Microprocessors,71.9,63.6,65.1,60.8
22-92703,Carla Dela Cruz,6,Software Design,76.4,74.5,65.9,60.8
22-92703,Carla Dela Cruz,6,Routing and Switching (CISCO 2),72.6,64.7,60.0,60.0
22-92703,Carla Dela Cruz,6,Digital Signal Processing,64.3,60.0,64.3,64.3
22-92703,Carla Dela Cruz,6,Emerging Technologies in CpE,62.3,69.8,65.4,65.2
22-92703,Carla Dela Cruz,6,CpE Practice and Design 1,71.3,60.5,60.0,63.0
22-92703,Carla Dela Cruz,6,Cognate/Elective Course 2,78.0,60.0,68.8,70.3
22-92703,Carla Dela Cruz,7,Scaling Networks (CISCO 3),70.9,72.9,62.5,62.5
22-92703,Carla Dela Cruz,7,Operating Systems,62.1,60.0,72.4,60.0
22-92703,Carla Dela Cruz,7,Computer Architecture and Organization,71.4,63.6,60.5,64.2
22-92703,Carla Dela Cruz,7,Computer Engineering Drafting and Design,69.7,74.2,71.6,67.1
22-92703,Carla Dela Cruz,7,Connecting Networks and Security (CISCO 4),73.2,79.1,60.4,62.8
22-92703,Carla Dela Cruz,7,Embedded Systems,80.9,79.5,60.4,63.3
22-92703,Carla Dela Cruz,7,Seminars and Fieldtrips,79.5,72.2,67.5,61.5
22-92703,Carla Dela Cruz,7,Manufacturing and Quality Control,71.8,73.6,67.4,65.0
22-92703,Carla Dela Cruz,7,Cognate/Elective Course 3 (Data Mining / AI Track),72.3,65.6,70.0,80.7
22-92703,Carla Dela Cruz,7,ASEAN Literature,60.7,71.1,61.8,66.2
22-92703,Carla Dela Cruz,8,Technopreneurship,71.6,73.8,73.4,63.9
22-92703,Carla Dela Cruz,8,On-the-Job Training,78.1,60.0,75.9,65.0
22-92703,Carla Dela Cruz,8,CpE Practice and Design 2,77.8,61.9,61.4,63.7
22-21889,Ana Santos,1,Introduction to Engineering,71.7,71.4,73.3,60.0
22-21889,Ana Santos,1,Understanding the Self,77.7,69.7,65.6,60.0
22-21889,Ana Santos,1,Mathematics in the Modern World,76.7,60.0,72.4,60.0
22-21889,Ana Santos,1,Readings in Philippine History,72.1,69.0,73.8,62.1
22-21889,Ana Santos,1,Purposive Communication,67.7,66.6,74.4,66.4
22-21889,Ana Santos,1,Differential Calculus,71.4,70.1,60.0,67.2
22-21889,Ana Santos,1,General Chemistry,63.2,76.0,69.3,79.2
22-21889,Ana Santos,1,Computer Programming 1,64.6,68.5,77.0,69.8
22-21889,Ana Santos,2,Engineering Drawing,66.3,69.8,65.6,63.8
22-21889,Ana Santos,2,Contemporary World,67.6,69.1,60.0,64.0
22-21889,Ana Santos,2,Art Appreciation,74.5,68.3,60.0,69.1
22-21889,Ana Santos,2,"Science, Technology and Society",74.0,65.3,65.1,60.0
22-21889,Ana Santos,2,Integral Calculus,67.6,68.3,75.9,61.0
22-21889,Ana Santos,2,Physics 1,77.6,68.3,70.0,64.0
22-21889,Ana Santos,3,Life and Works of Rizal,77.1,66.5,60.0,60.0
22-21889,Ana Santos,3,Ethics,68.6,62.2,69.3,60.4
22-21889,Ana Santos,3,Modern Biology,88.0,61.1,69.8,60.0
